Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
1,-17.6129,Tx-D-Rx,3,"5.5 -2.23 0.6, 5.65853 -1.94646 0.6, 5.5 -2.23 0.6"
1,-19.5216,Tx-R-Rx,3,"5.5 -2.23 0.6, 5.65853 -2.23 0.6, 5.5 -2.23 0.6"
1,-24.5717,Tx-R-Rx,3,"5.5 -2.23 0.6, 5.5 -1.94646 0.6, 5.5 -2.23 0.6"
1,-25.1395,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 5.25388 -1.94646 0.600126, 5.25263 -1.94788 0.600128, 5.5 -2.23 0.6"
1,-28.7999,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 5.65853 -1.94834 0.599698, 5.65748 -1.94646 0.599696, 5.5 -2.23 0.6"
1,-33.9404,Tx-D-R-Rx,4,"5.5 -2.23 0.6, 5.25263 -1.96475 0.6, 5.26762 -1.94646 0.6, 5.5 -2.23 0.6"
1,-33.9404,Tx-R-D-Rx,4,"5.5 -2.23 0.6, 5.26762 -1.94646 0.6, 5.25263 -1.96475 0.6, 5.5 -2.23 0.6"
1,-35.6633,Tx-D-Rx,3,"5.5 -2.23 0.6, 5.25263 -1.96475 0.6, 5.5 -2.23 0.6"
1,-36.6645,Tx-R-Rx,3,"5.5 -2.23 0.6, 5.5 -2.23 0.0997569, 5.5 -2.23 0.6"
1,-37.3781,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 2.40855 -1.94646 0.6, 2.40631 -1.94666 0.6, 5.5 -2.23 0.6"
1,-37.3781,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 2.40631 -1.94666 0.6, 2.40855 -1.94646 0.6, 5.5 -2.23 0.6"
1,-37.4195,Tx-D-Rx,3,"5.5 -2.23 0.6, 5.5 -2.48912 0.365703, 5.5 -2.23 0.6"
1,-37.6142,Tx-D-Rx,3,"5.5 -2.23 0.6, 5.5 -2.49554 0.372123, 5.5 -2.23 0.6"
1,-39.4651,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 1.54702 -1.94714 0.6, 1.55655 -1.94646 0.6, 5.5 -2.23 0.6"
1,-39.4651,Tx-R-R-Rx,4,"5.5 -2.23 0.6, 1.55655 -1.94646 0.6, 1.54702 -1.94714 0.6, 5.5 -2.23 0.6"
