Rx_Number,Path_Power,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordiantes
7,-37.1106,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '5.34616 -4.65288 0.927381', '2.73927 -4.46754 1.5']"
7,-37.9406,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '5.31849 -7.40635 0.857548', '5.65853 -7.09975 0.924574', '2.73927 -4.46754 1.5']"
7,-39.3277,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.71154 -5.05228 0.282976', '5.32063 -7.40635 0.824265', '5.65853 -7.10147 0.894367', '2.73927 -4.46754 1.5']"
7,-39.6236,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '2.6499 -4.60678 3.02001', '2.73927 -4.46754 1.5']"
7,-39.9704,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.29333 -5.54835 0.337534', '2.46606 -7.40635 0.787807', '2.73927 -4.46754 1.5']"
7,-40.7235,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.28047 -4.83362 0.493607', '2.73927 -4.46754 1.5']"
7,-41.2139,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.28291 -4.80571 0.47296', '2.27683 -4.83184 0.494364', '2.73927 -4.46754 1.5']"
7,-42.8999,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '2.52115 -5.54272 0.0997569', '2.6058 -7.40635 0.643136', '2.73927 -4.46754 1.5']"
7,-43.1578,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.28248 -4.83333 0.37586', '2.27133 -4.82461 0.347652', '2.73927 -4.46754 1.5']"
7,-43.3259,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.30036 -4.80371 0.324566', '2.73927 -4.46754 1.5']"
7,-43.5004,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '3.04084 -5.34367 0.131867', '5.32435 -7.40635 0.696106', '5.65853 -7.10449 0.778678', '2.73927 -4.46754 1.5']"
7,-43.6506,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30892 -5.47683 0.305913', '2.47949 -7.40635 0.779182', '2.73927 -4.46754 1.5']"
7,-43.8467,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34616 -4.65236 0.961968', '2.73927 -4.46754 1.5']"
7,-43.8904,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30311 -5.74447 0.497556', '2.30463 -5.85057 0.520566', '2.45508 -7.40635 0.859595', '2.73927 -4.46754 1.5']"
7,-44.4204,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.30936 -4.7811 0.245259', '2.73927 -4.46754 1.5']"
7,-45.2426,Tx-R-R-R-Rx,5,"['2.48996 -4.85594 0.3', '3.25163 -5.54272 0.0997569', '5.31849 -7.40635 0.643136', '5.65853 -7.09975 0.732531', '2.73927 -4.46754 1.5']"
7,-45.2567,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34616 -4.65294 0.923373', '2.73927 -4.46754 1.5']"
7,-45.2865,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.28271 -4.83465 0.375782', '2.73927 -4.46754 1.5']"
7,-45.7307,Tx-R-D-Rx,4,"['2.48996 -4.85594 0.3', '2.60341 -4.80203 0.0997569', '2.7061 -4.75322 0.281014', '2.73927 -4.46754 1.5']"
7,-45.9253,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30884 -5.00826 0.289929', '2.71154 -5.34444 0.282976', '5.13033 -7.40635 0.784785', '5.65853 -6.95608 0.894366', '2.73927 -4.46754 1.5']"
7,-45.9457,Tx-D-R-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.70882 -5.05295 0.243983', '3.25688 -5.54715 0.0997569', '5.3187 -7.40635 0.642345', '5.65853 -7.09992 0.731774', '2.73927 -4.46754 1.5']"
7,-46.369,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '3.10106 -5.40289 0.131867', '5.32118 -7.40635 0.686472', '5.65853 -7.10192 0.770746', '2.73927 -4.46754 1.5']"
7,-46.4122,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.29331 -4.896 0.372086', '2.36592 -4.82624 0.0997569', '2.73927 -4.46754 1.5']"
7,-47.6332,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34309 -4.65298 0.919629', '2.73927 -4.46754 1.5']"
7,-47.6936,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30313 -5.74431 0.498878', '2.46069 -7.40635 0.860531', '2.73927 -4.46754 1.5']"
7,-47.736,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.7061 -4.79727 0.281014', '2.73927 -4.46754 1.5']"
7,-47.832,Tx-R-R-R-Rx,5,"['2.48996 -4.85594 0.3', '5.65853 -5.98119 0.545992', '1.64544 -7.40635 0.857548', '-1.94533 -6.13117 1.13631', '2.73927 -4.46754 1.5']"
7,-47.8458,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30724 -5.05615 0.399268', '5.09359 -7.40635 0.888387', '5.65853 -6.92984 0.987556', '2.73927 -4.46754 1.5']"
7,-48.2957,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.30625 -4.77229 0.156117', '2.73927 -4.46754 1.5']"
7,-48.3723,Tx-R-D-R-Rx,5,"['2.48996 -4.85594 0.3', '2.37809 -5.5217 0.0997569', '2.30494 -5.95707 0.230704', '2.44839 -7.40635 0.649924', '2.73927 -4.46754 1.5']"
7,-48.641,Tx-D-R-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.71154 -4.93461 0.282976', '5.65853 -5.98118 0.518386', '1.64541 -7.40635 0.83896', '-1.94533 -6.13118 1.12579', '2.73927 -4.46754 1.5']"
7,-48.7275,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.39468 -4.65629 0.702771', '2.73927 -4.46754 1.5']"
7,-49.1828,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.35827 -5.51033 0.0997569', '2.30371 -5.78147 0.182723', '2.30109 -5.85759 0.204876', '2.45232 -7.40635 0.651853', '2.73927 -4.46754 1.5']"
7,-49.2254,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30854 -5.00863 0.305963', '5.12533 -7.40635 0.84245', '5.65853 -6.95248 0.944002', '2.73927 -4.46754 1.5']"
7,-49.3727,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '5.48989 -4.67988 0.450098', '1.58466 -4.45069 0.645491', '2.73927 -4.46754 1.5']"
7,-49.5235,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.35945 -5.50471 0.0997569', '2.30392 -5.78073 0.184948', '2.30387 -5.93143 0.228711', '2.44937 -7.40635 0.653536', '2.73927 -4.46754 1.5']"
7,-49.5379,Tx-D-R-R-R-Rx,6,"['2.48996 -4.85594 0.3', '3.04194 -5.34367 0.123928', '3.13588 -5.42854 0.0997569', '5.325 -7.40635 0.663036', '5.65853 -7.10502 0.748855', '2.73927 -4.46754 1.5']"
7,-49.7239,Tx-R-D-R-Rx,5,"['2.48996 -4.85594 0.3', '2.36198 -5.4926 0.0997569', '2.30439 -5.77909 0.189865', '2.45937 -7.40635 0.656775', '2.73927 -4.46754 1.5']"
7,-49.8573,Tx-R-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.80453 -4.83748 0.282976', '5.48989 -4.67988 0.428301', '1.58646 -4.45079 0.639544', '2.73927 -4.46754 1.5']"
7,-50.3101,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.70882 -4.79661 0.282713', '2.73927 -4.46754 1.5']"
8,-13.5563,Tx-Rx,2,"['2.48996 -4.85594 0.3', '3.23857 -4.44473 1.5']"
8,-24.55,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '2.30295 -4.81075 0.318486', '3.23857 -4.44473 1.5']"
8,-26.2182,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '2.2931 -4.86488 0.462086', '3.23857 -4.44473 1.5']"
8,-30.0859,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '2.83634 -7.40635 0.855241', '3.23857 -4.44473 1.5']"
8,-31.2304,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '2.58362 -4.8045 0.0997569', '3.23857 -4.44473 1.5']"
8,-32.1383,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.29803 -4.75881 0.504826', '3.23857 -4.44473 1.5']"
8,-32.2631,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.29391 -4.80763 0.33852', '3.23857 -4.44473 1.5']"
8,-32.7003,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.30825 -4.81223 0.306011', '3.23857 -4.44473 1.5']"
8,-33.8497,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30839 -5.4481 0.307617', '2.67863 -7.40635 0.782222', '3.23857 -4.44473 1.5']"
8,-34.5576,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.31168 -5.61013 0.449348', '2.66161 -7.40635 0.846001', '3.23857 -4.44473 1.5']"
8,-34.9054,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '2.27568 -4.84987 0.368087', '2.27425 -4.84411 0.346476', '3.23857 -4.44473 1.5']"
8,-36.0359,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30964 -5.92667 0.531603', '2.61913 -7.40635 0.85424', '3.23857 -4.44473 1.5']"
8,-36.0664,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.29803 -4.76192 0.495716', '3.23857 -4.44473 1.5']"
8,-36.3068,Tx-R-D-Rx,4,"['2.48996 -4.85594 0.3', '2.60341 -4.80243 0.0997569', '2.7061 -4.754 0.281014', '3.23857 -4.44473 1.5']"
8,-36.3962,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '5.35787 -4.61947 0.990064', '3.23857 -4.44473 1.5']"
8,-39.0205,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.71154 -4.83809 0.282976', '5.34616 -4.61955 0.959116', '3.23857 -4.44473 1.5']"
8,-39.1239,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '5.07576 -7.40635 0.855241', '5.65853 -6.83156 0.980376', '3.23857 -4.44473 1.5']"
8,-39.1744,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.29063 -4.85796 0.479412', '3.23857 -4.44473 1.5']"
8,-39.5713,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '2.9702 -4.59215 3.02001', '3.23857 -4.44473 1.5']"
8,-40.5083,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.71154 -5.0699 0.282976', '5.07837 -7.40635 0.819687', '5.65853 -6.83364 0.951246', '3.23857 -4.44473 1.5']"
8,-41.3966,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.28576 -4.85219 0.374744', '3.23857 -4.44473 1.5']"
8,-42.1985,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.70683 -4.79808 0.281995', '3.23857 -4.44473 1.5']"
8,-42.6732,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '5.34762 -4.62078 0.963433', '5.35787 -4.61993 0.966016', '3.23857 -4.44473 1.5']"
8,-42.7259,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.29852 -4.88901 0.463297', '3.23857 -4.44473 1.5']"
8,-42.8988,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30919 -5.44859 0.305856', '2.67906 -7.40635 0.781091', '3.23857 -4.44473 1.5']"
8,-42.9124,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '2.58362 -5.54557 0.0997569', '2.83634 -7.40635 0.64006', '3.23857 -4.44473 1.5']"
8,-43.1527,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.30045 -4.81015 0.324383', '3.23857 -4.44473 1.5']"
8,-43.2537,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.29225 -4.85583 0.438656', '3.23857 -4.44473 1.5']"
8,-43.5499,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34616 -4.61987 0.961968', '3.23857 -4.44473 1.5']"
8,-43.6725,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30751 -4.80907 0.162411', '2.34739 -4.79347 0.0997569', '3.23857 -4.44473 1.5']"
8,-43.9233,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '5.35787 -4.08288 0.996059', '5.34937 -4.08142 0.99808', '3.23857 -4.44473 1.5']"
8,-43.9573,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30356 -4.80409 0.136551', '2.3275 -4.79489 0.0997569', '3.23857 -4.44473 1.5']"
8,-44.0326,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.3024 -4.72224 0.447472', '3.23857 -4.44473 1.5']"
8,-44.6048,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.99372 -5.34367 0.131867', '5.08123 -7.40635 0.693544', '5.65853 -6.83591 0.848877', '3.23857 -4.44473 1.5']"
8,-44.8707,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30589 -4.80733 0.153431', '2.34032 -4.79395 0.0997569', '3.23857 -4.44473 1.5']"
8,-45.5164,Tx-R-D-Rx,4,"['2.48996 -4.85594 0.3', '5.35787 -4.08418 0.995989', '5.34762 -4.08142 0.998477', '3.23857 -4.44473 1.5']"
8,-45.906,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.29104 -4.75343 0.37116', '2.44488 -4.70331 0.0997569', '3.23857 -4.44473 1.5']"
8,-45.9439,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30367 -5.83312 0.512072', '2.62801 -7.40635 0.854806', '3.23857 -4.44473 1.5']"
8,-46.5152,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.7061 -4.81439 0.281014', '2.30202 -4.73664 0.320454', '3.23857 -4.44473 1.5']"
8,-46.5381,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.35787 -4.08288 0.996126', '3.23857 -4.44473 1.5']"
8,-46.6472,Tx-R-R-R-Rx,5,"['2.48996 -4.85594 0.3', '3.18916 -5.54557 0.0997569', '5.07576 -7.40635 0.64006', '5.65853 -6.83156 0.806956', '3.23857 -4.44473 1.5']"
8,-46.7659,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30614 -5.48862 0.150365', '2.33866 -5.65881 0.0997569', '2.67261 -7.40635 0.61938', '3.23857 -4.44473 1.5']"
8,-47.0921,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34616 -4.62062 0.923373', '3.23857 -4.44473 1.5']"
8,-47.4138,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30886 -5.02113 0.289831', '2.70882 -5.38329 0.282713', '4.88813 -7.40635 0.776759', '5.65853 -6.69119 0.951405', '3.23857 -4.44473 1.5']"
8,-47.4214,Tx-D-R-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.70882 -5.07015 0.243983', '3.21025 -5.56488 0.0997569', '5.0767 -7.40635 0.636604', '5.65853 -6.83231 0.803953', '3.23857 -4.44473 1.5']"
8,-47.4503,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '3.04879 -5.40289 0.131867', '5.07832 -7.40635 0.683925', '5.65853 -6.8336 0.841747', '3.23857 -4.44473 1.5']"
8,-47.7749,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30609 -5.53436 0.396543', '2.66723 -7.40635 0.823899', '3.23857 -4.44473 1.5']"
8,-48.0414,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.30771 -5.07163 0.398357', '4.85157 -7.40635 0.883983', '5.65853 -6.66573 1.03803', '3.23857 -4.44473 1.5']"
8,-48.3187,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30081 -4.80084 0.116585', '2.31194 -4.79661 0.0997569', '3.23857 -4.44473 1.5']"
8,-48.3436,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34309 -4.62066 0.919629', '3.23857 -4.44473 1.5']"
9,-15.1544,Tx-Rx,2,"['2.48996 -4.85594 0.3', '3.73726 -4.4799 1.5']"
9,-28.4311,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.30113 -4.88896 0.412323', '3.73726 -4.4799 1.5']"
9,-29.2171,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.29961 -4.7616 0.438321', '3.73726 -4.4799 1.5']"
9,-30.4207,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '3.07079 -7.40635 0.858806', '3.73726 -4.4799 1.5']"
9,-31.1936,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.30826 -4.82292 0.306008', '3.73726 -4.4799 1.5']"
9,-31.9113,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.70683 -4.81081 0.281995', '3.73726 -4.4799 1.5']"
9,-33.614,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30643 -5.88296 0.521011', '2.79627 -7.40635 0.856167', '3.73726 -4.4799 1.5']"
9,-35.6106,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '5.35787 -4.61567 1.06673', '3.73726 -4.4799 1.5']"
9,-36.0813,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.3127 -5.4773 0.452227', '2.87867 -7.40635 0.868502', '3.73726 -4.4799 1.5']"
9,-36.3371,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.29391 -4.81947 0.338513', '3.73726 -4.4799 1.5']"
9,-37.2645,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30367 -5.83312 0.508582', '2.8049 -7.40635 0.855215', '3.73726 -4.4799 1.5']"
9,-38.6475,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30904 -5.34465 0.305881', '2.89935 -7.40635 0.799436', '3.73726 -4.4799 1.5']"
9,-39.4734,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '3.29012 -4.61471 3.02001', '3.73726 -4.4799 1.5']"
9,-39.7043,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.70882 -4.83822 0.282713', '5.35787 -4.61591 1.03796', '3.73726 -4.4799 1.5']"
9,-40.886,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.28535 -4.88479 0.368536', '2.28871 -4.87873 0.340618', '3.73726 -4.4799 1.5']"
9,-41.2466,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.28917 -4.87175 0.373586', '3.73726 -4.4799 1.5']"
9,-41.2693,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.30204 -4.89304 0.412592', '3.73726 -4.4799 1.5']"
9,-41.3752,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '2.28628 -3.81516 0.461388', '3.08577 -7.40635 1.03366', '3.73726 -4.4799 1.5']"
9,-41.4027,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '4.86014 -7.40635 0.858806', '5.65853 -6.54726 1.04704', '3.73726 -4.4799 1.5']"
9,-42.1894,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '5.35787 -4.08288 1.06826', '5.35195 -4.08142 1.06984', '3.73726 -4.4799 1.5']"
9,-42.3443,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.29784 -3.89078 0.449616', '2.2832 -3.8158 0.461242', '3.08432 -7.40635 1.03355', '3.73726 -4.4799 1.5']"
9,-42.363,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.70882 -4.81041 0.282713', '3.73726 -4.4799 1.5']"
9,-42.5987,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30964 -5.92674 0.531156', '2.78906 -7.40635 0.856508', '3.73726 -4.4799 1.5']"
9,-42.7567,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.71154 -5.08821 0.282976', '4.86334 -7.40635 0.82091', '5.65853 -6.54969 1.0197', '3.73726 -4.4799 1.5']"
9,-42.8952,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.29422 -5.38926 0.338194', '2.88302 -7.40635 0.812243', '3.73726 -4.4799 1.5']"
9,-43.1409,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '2.64601 -5.54117 0.0997569', '3.07079 -7.40635 0.644815', '3.73726 -4.4799 1.5']"
9,-43.2392,Tx-R-D-Rx,4,"['2.48996 -4.85594 0.3', '5.35787 -4.08418 1.06817', '5.34762 -4.08142 1.07092', '3.73726 -4.4799 1.5']"
9,-44.279,Tx-R-D-Rx,4,"['2.48996 -4.85594 0.3', '2.30858 -4.82504 0.289601', '2.70683 -4.75609 0.281995', '3.73726 -4.4799 1.5']"
9,-44.4769,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.29775 -4.76204 0.504991', '3.73726 -4.4799 1.5']"
9,-44.5833,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '5.34762 -4.61872 0.963433', '5.35787 -4.61785 0.966805', '3.73726 -4.4799 1.5']"
9,-44.8807,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.28864 -4.86866 0.373769', '2.29275 -4.86142 0.338972', '3.73726 -4.4799 1.5']"
9,-45.442,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.34616 -4.61773 0.961968', '3.73726 -4.4799 1.5']"
9,-45.5176,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.35787 -4.08288 1.06837', '3.73726 -4.4799 1.5']"
9,-46.1222,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.29109 -4.86031 0.480941', '3.73726 -4.4799 1.5']"
9,-46.1286,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.35787 -5.54804 1.02381', '3.73726 -4.4799 1.5']"
9,-46.4198,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.71154 -4.80987 0.282976', '3.73726 -4.4799 1.5']"
9,-46.4422,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.31012 -5.36974 0.170991', '2.37921 -5.61 0.0997569', '2.89576 -7.40635 0.632352', '3.73726 -4.4799 1.5']"
9,-46.6249,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.9515 -5.34367 0.131867', '4.865 -7.40635 0.697503', '5.65853 -6.55096 0.932072', '3.73726 -4.4799 1.5']"
9,-46.7297,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '2.29422 -5.38685 0.338195', '2.2976 -5.49322 0.378022', '2.86671 -7.40635 0.821553', '3.73726 -4.4799 1.5']"
9,-47.2153,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30654 -5.41004 0.397003', '2.88674 -7.40635 0.844299', '3.73726 -4.4799 1.5']"
9,-47.3157,Tx-R-R-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.26965 -4.81027 0.435004', '2.2619 -4.82049 0.442546', '2.26168 -4.81333 0.447332', '2.26982 -4.8235 0.45574', '3.73726 -4.4799 1.5']"
9,-48.0148,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '5.34762 -4.08142 1.06578', '5.35787 -4.08392 1.06851', '3.73726 -4.4799 1.5']"
9,-48.3801,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.28872 -3.81465 0.46139', '3.08691 -7.40635 1.0337', '3.73726 -4.4799 1.5']"
9,-48.5685,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.30081 -4.81223 0.116587', '3.73726 -4.4799 1.5']"
9,-48.7519,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.30062 -4.82255 0.324032', '3.73726 -4.4799 1.5']"
9,-48.7523,Tx-R-D-R-R-Rx,6,"['2.48996 -4.85594 0.3', '2.30888 -5.03427 0.289831', '2.70882 -5.42525 0.282713', '4.67516 -7.40635 0.774115', '5.65853 -6.41559 1.01986', '3.73726 -4.4799 1.5']"
9,-49.0275,Tx-R-R-R-Rx,5,"['2.48996 -4.85594 0.3', '3.12677 -5.54117 0.0997569', '4.86014 -7.40635 0.644815', '5.65853 -6.54726 0.895865', '3.73726 -4.4799 1.5']"
9,-49.2155,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.31031 -4.82044 0.177686', '2.38554 -4.80249 0.0997569', '3.73726 -4.4799 1.5']"
9,-49.3124,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.35641 -4.60685 1.76629', '3.73726 -4.4799 1.5']"
9,-49.3659,Tx-D-R-R-Rx,5,"['2.48996 -4.85594 0.3', '3.00195 -5.40289 0.131867', '4.86234 -7.40635 0.687863', '5.65853 -6.54893 0.925812', '3.73726 -4.4799 1.5']"
10,-16.8755,Tx-Rx,2,"['2.48996 -4.85594 0.3', '4.2367 -4.48324 1.5']"
10,-28.7348,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.70882 -4.81829 0.282713', '4.2367 -4.48324 1.5']"
10,-30.6304,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.30052 -4.76141 0.405005', '4.2367 -4.48324 1.5']"
10,-31.0379,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '3.30386 -7.40635 0.859147', '4.2367 -4.48324 1.5']"
10,-33.1381,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.30827 -4.82874 0.306006', '4.2367 -4.48324 1.5']"
10,-34.4479,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.70882 -5.40894 0.282713', '3.32904 -7.40635 0.776855', '4.2367 -4.48324 1.5']"
10,-34.7903,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '5.35787 -4.58799 1.16273', '4.2367 -4.48324 1.5']"
10,-35.0639,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '2.31298 -5.36786 0.449354', '3.10335 -7.40635 0.881019', '4.2367 -4.48324 1.5']"
10,-38.3259,Tx-R-D-Rx,4,"['2.48996 -4.85594 0.3', '2.30858 -4.82975 0.289837', '2.70882 -4.77082 0.282713', '4.2367 -4.48324 1.5']"
10,-39.4317,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.29392 -4.82587 0.338509', '4.2367 -4.48324 1.5']"
10,-39.7871,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.70882 -4.83637 0.282713', '5.35787 -4.58825 1.13801', '4.2367 -4.48324 1.5']"
10,-39.7966,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30892 -5.26348 0.305901', '3.12435 -7.40635 0.810998', '4.2367 -4.48324 1.5']"
10,-39.9854,Tx-R-Rx,3,"['2.48996 -4.85594 0.3', '3.61051 -4.61685 3.02001', '4.2367 -4.48324 1.5']"
10,-40.0195,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.70683 -4.81862 0.281995', '4.2367 -4.48324 1.5']"
10,-41.3202,Tx-D-R-Rx,4,"['2.48996 -4.85594 0.3', '2.30367 -5.83311 0.502426', '2.98002 -7.40635 0.851472', '4.2367 -4.48324 1.5']"
10,-41.5593,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '2.29114 -4.88302 0.372919', '4.2367 -4.48324 1.5']"
10,-43.4444,Tx-R-R-Rx,4,"['2.48996 -4.85594 0.3', '2.7085 -5.54075 0.0997569', '3.30386 -7.40635 0.645269', '4.2367 -4.48324 1.5']"
10,-43.8887,Tx-D-Rx,3,"['2.48996 -4.85594 0.3', '5.35787 -5.54804 1.08735', '4.2367 -4.48324 1.5']"
